lease_id,property_id,property_name,asset_class,address,city,province,suite_unit,tenant_legal_name,tenant_dba,tenant_category,tenant_role,is_loblaw_banner,gla_sqft,lease_status,commencement_date,expiry_date,initial_term_years,base_rent_psf_year1,annual_base_rent_year1,monthly_base_rent_year1,rent_escalation_summary,rent_escalation_schedule,recovery_structure,additional_rent_psf_estimate,recovery_clause_text,percentage_rent_type,percentage_rent_breakpoint,percentage_rent_rate,percentage_rent_clause_text,renewal_options_count,renewal_option_years_each,renewal_clause_text,use_clause_text,exclusivity_type,exclusivity_clause_text,co_tenancy_type,co_tenancy_clause_text,radius_restriction_type,radius_restriction_clause_text,assignment_subletting_type,assignment_subletting_clause_text,early_termination_type,early_termination_clause_text,ti_allowance_summary,ti_allowance_clause_text,security_deposit_summary,security_deposit_clause_text,guarantor,anchor_tenant_at_property,lease_document_reference,abstracted_by,last_updated
CHP-LSE-00610,CHP-RET-1098,Northgate Centre,Retail,"250 17 Ave SW, Red Deer, AB",Red Deer,AB,Anchor Premises,Your Independent Grocer,Your Independent Grocer,Grocery,Anchor,True,37157,Active,2023-01-22,2043-01-21,20,19.26,715643.82,59636.98,Stepped — 7.7% increase every 5 years,Year 6: $20.74/sf | Year 11: $22.34/sf | Year 16: $24.06/sf | Year 21: $25.91/sf,Modified Net — capped CAM,$9.76/sf (CAM cap: 4.74% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 4.74% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",5.22% over natural breakpoint,"$13,710,000.00",5.22%,"Tenant shall pay percentage rent equal to 5.22% of Gross Sales in excess of the Breakpoint of $13,710,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",4,5,"Tenant has the right to extend the Term for 4 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,5 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 5 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$50/sf — $1,857,850.00 total","Landlord shall provide a Tenant Improvement Allowance of $50 per square foot of GLA (totaling $1,857,850.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Your Independent Grocer or parent entity,T&T Supermarket,CHP-LEGAL/CHP-RET-1098/00610-Lease-and-Amendments.pdf,AI-Auto-v3,2025-06-23
CHP-LSE-00611,CHP-RET-1098,Northgate Centre,Retail,"250 17 Ave SW, Red Deer, AB",Red Deer,AB,Anchor Premises,T&T Supermarket,T&T Supermarket,Grocery,Anchor,True,72212,Active — expiring 12-24 months,2012-05-18,2027-05-17,15,17.34,1252156.08,104346.34,Stepped — 7.7% increase every 5 years,Year 6: $18.68/sf | Year 11: $20.12/sf | Year 16: $21.67/sf,Triple Net (NNN),$10.86/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",6.75% over natural breakpoint,"$18,550,000.00",6.75%,"Tenant shall pay percentage rent equal to 6.75% of Gross Sales in excess of the Breakpoint of $18,550,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",4,5,"Tenant has the right to extend the Term for 4 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,8 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 8 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$25/sf — $1,805,300.00 total","Landlord shall provide a Tenant Improvement Allowance of $25 per square foot of GLA (totaling $1,805,300.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of T&T Supermarket or parent entity,T&T Supermarket,CHP-LEGAL/CHP-RET-1098/00611-Lease-and-Amendments.pdf,AI-Auto-v3,2026-08-14
CHP-LSE-00612,CHP-RET-1098,Northgate Centre,Retail,"250 17 Ave SW, Red Deer, AB",Red Deer,AB,Unit D05,Scotiabank Inc.,Scotiabank,Bank,CRU,False,2801,Active — expiring 12-24 months,2023-03-17,2028-03-16,5,28.47,79744.47,6645.37,Annual fixed escalator of 2.12% per year,2.12% annual,Triple Net (NNN),$10.88/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,3,5,"Tenant has 3 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a full-service retail banking branch, including ATM services, safe deposit boxes, financial advisory services, mortgage origination, and small business banking.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$35/sf — $98,035.00 total","Landlord shall provide a Tenant Improvement Allowance of $35 per square foot of GLA (totaling $98,035.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","3 months (19,936.12)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($19,936.12), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 24 months of Term,T&T Supermarket,CHP-LEGAL/CHP-RET-1098/00612-Lease-and-Amendments.pdf,Legal Team,2025-09-20
CHP-LSE-00613,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Anchor Premises,Real Canadian Superstore,Real Canadian Superstore,Grocery,Anchor,True,65932,Active,2016-11-14,2031-11-13,15,15.23,1004144.36,83678.7,Stepped — 7.7% increase every 5 years,Year 6: $16.4/sf | Year 11: $17.66/sf | Year 16: $19.02/sf,Triple Net (NNN),$10.27/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.1% over natural breakpoint,"$24,491,000.00",4.1%,"Tenant shall pay percentage rent equal to 4.1% of Gross Sales in excess of the Breakpoint of $24,491,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",5,5,"Tenant has the right to extend the Term for 5 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,3 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 3 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Real Canadian Superstore or parent entity,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00613-Lease-and-Amendments.pdf,Property Mgmt,2026-08-21
CHP-LSE-00614,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit C32,Tim Hortons Inc.,Tim Hortons,QSR,CRU,False,2797,Active,2022-12-19,2032-12-18,10,60.6,169498.2,14124.85,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$12.52/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",6.28% over natural breakpoint,"$2,699,000.00",6.28%,"Tenant shall pay percentage rent equal to 6.28% of Gross Sales in excess of the Breakpoint of $2,699,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a quick-service restaurant for the sale of hamburgers, french fries and soft drinks, including drive-thru service where Building permits, and the sale of related beverages and ancillary food items.",Limited,"Landlord shall not lease any other premises in the Shopping Centre to a quick-service restaurant whose primary business is the sale of Mexican-style fast casual food, for a period of thirty-six (36) months from Commencement.",Opening,"If Real Canadian Superstore is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$15/sf — $41,955.00 total","Landlord shall provide a Tenant Improvement Allowance of $15 per square foot of GLA (totaling $41,955.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.","3 months (42,374.55)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($42,374.55), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 48 months of Term,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00614-Lease-and-Amendments.pdf,Property Mgmt,2025-04-23
CHP-LSE-00615,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit D16,London Yoga Studio Inc.,London Yoga Studio,Cafe,CRU,False,4490,Expired,2011-12-22,2021-12-21,10,33.06,148439.4,12369.95,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$13.77/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.97% over natural breakpoint,"$2,987,000.00",4.97%,"Tenant shall pay percentage rent equal to 4.97% of Gross Sales in excess of the Breakpoint of $2,987,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a specialty coffee shop and cafe, including the sale of espresso-based beverages, brewed coffee, tea, baked goods, light meals, and packaged coffee for off-premises consumption.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$65/sf — $291,850.00 total","Landlord shall provide a Tenant Improvement Allowance of $65 per square foot of GLA (totaling $291,850.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","1 months (12,369.95)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 1 months Minimum Rent ($12,369.95), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00615-Lease-and-Amendments.pdf,Property Mgmt,2026-11-27
CHP-LSE-00616,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit B05,Bayview Barbers Inc.,Bayview Barbers,Medical,CRU,False,4031,Expired,2011-03-22,2021-03-21,10,28.1,113271.1,9439.26,Annual fixed escalator of 2.99% per year,2.99% annual,Triple Net (NNN),$13.59/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,3,5,"Tenant has 3 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a medical clinic providing walk-in medical services, including diagnostic testing and patient consultations; no overnight or in-patient care.",None,Tenant has no exclusivity rights under this Lease.,Opening,"If Real Canadian Superstore is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),"Premises delivered in as-is, where-is condition. Tenant responsible for all leasehold improvements at its sole cost.","3 months (28,317.78)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($28,317.78), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00616-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2024-05-28
CHP-LSE-00617,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit G35,Forest Hill Barbers Inc.,Forest Hill Barbers,Apparel,CRU,False,2529,Expired (holdover),2008-11-19,2018-11-18,10,70.63,178623.27,14885.27,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$15.65/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",6.47% over natural breakpoint,"$2,761,000.00",6.47%,"Tenant shall pay percentage rent equal to 6.47% of Gross Sales in excess of the Breakpoint of $2,761,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.",Operation of a retail apparel and accessories store.,None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,"1 months (14,885.27)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 1 months Minimum Rent ($14,885.27), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00617-Lease-and-Amendments.pdf,Property Mgmt,2025-05-28
CHP-LSE-00618,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit E26,Dentalcorp Clinic Inc.,Dentalcorp Clinic,Medical,CRU,False,3555,Expired (holdover),2015-07-29,2025-07-28,10,33.72,119874.6,9989.55,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$12.59/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a medical clinic providing optometry services, including diagnostic testing and patient consultations; no overnight or in-patient care.",None,Tenant has no exclusivity rights under this Lease.,Opening,"If Real Canadian Superstore is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,"3 months (29,968.65)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($29,968.65), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 24 months of Term,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00618-Lease-and-Amendments.pdf,Property Mgmt,2026-03-10
CHP-LSE-00619,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit D10,Kumon Inc.,Kumon,Education,CRU,False,4050,Expired,2008-08-02,2013-08-01,5,70.77,286618.5,23884.88,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$15.8/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a supplemental learning and tutoring centre for school-aged children, including reading, mathematics, and test preparation services.",None,Tenant has no exclusivity rights under this Lease.,Opening,"If Real Canadian Superstore is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,"2 months (47,769.75)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 2 months Minimum Rent ($47,769.75), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00619-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2025-10-17
CHP-LSE-00620,CHP-RET-1099,London Crossing,Retail,"7877 Bloor St, London, ON",London,ON,Unit G25,McDonald's Inc.,McDonald's,QSR,Pad,False,4423,Active,2025-09-24,2040-09-23,15,84.77,374937.71,31244.81,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$14.44/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",5.73% over natural breakpoint,"$6,543,000.00",5.73%,"Tenant shall pay percentage rent equal to 5.73% of Gross Sales in excess of the Breakpoint of $6,543,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a quick-service restaurant for the sale of fried chicken and sides, including drive-thru service where Building permits, and the sale of related beverages and ancillary food items.",Limited,"Landlord shall not lease any other premises in the Shopping Centre to a quick-service restaurant whose primary business is the sale of pizza and Italian fast food, for a period of thirty-six (36) months from Commencement.",None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),"Premises delivered in as-is, where-is condition. Tenant responsible for all leasehold improvements at its sole cost.","1 months (31,244.81)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 1 months Minimum Rent ($31,244.81), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Real Canadian Superstore,CHP-LEGAL/CHP-RET-1099/00620-Lease-and-Amendments.pdf,Property Mgmt,2025-11-10
CHP-LSE-00621,CHP-IND-1100,Brampton Crossing,Industrial,"2494 Whyte Ave, Brampton, ON",Brampton,ON,Unit B09,DSV Canada Inc.,DSV Canada,Logistics,CRU,False,174210,Expired (holdover),2011-10-07,2016-10-06,5,13.31,2318735.1,193227.93,Annual fixed escalator of 3.03% per year,3.03% annual,Triple Net (NNN),$5.19/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, and Operating Costs (collectively 'Additional Rent'), payable in equal monthly installments based on Landlord's annual estimate, with reconciliation within 120 days of year end. Operating Costs exclude capital expenditures (except amortized over useful life), leasing commissions, and Landlord's income taxes. Tenant has audit rights once per Lease Year on 60 days notice.",None,,,No percentage rent.,2,5,"Tenant has 2 options to extend, each for a five (5) year term, at fair market rent (but not less than the rent payable in the final year of the prior Term). Notice required 9 months before expiry.","Operation of a third-party logistics, parcel sortation, or freight cross-dock facility, including ancillary fleet parking and trailer storage.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",Tenant termination at year 10,"Tenant has a one-time right to terminate the Lease effective on the 10th anniversary of the Commencement Date, on 12 months prior written notice and payment of a Termination Fee equal to 6 months Minimum Rent plus unamortized Landlord's Work and TI Allowance.","$5/sf — $871,050.00 total","Landlord shall provide a Tenant Improvement Allowance of $5 per square foot of GLA (totaling $871,050.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","3 months (579,683.78)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($579,683.78), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,N/A,CHP-LEGAL/CHP-IND-1100/00621-Lease-and-Amendments.pdf,Legal Team,2026-03-12
